close,datetime,datetimeISO8601,high,low,open,volume
110.24,1090213200000,,110.96,109.99,110.75,39592800
111.64,1090299600000,,111.9,110.25,110.53,46679800
109.58,1090386000000,,112.06,109.45,111.82,56241100
109.88,1090472400000,,110.39,108.77,109.36,72477104
108.96,1090558800000,,109.71,108.69,109.62,49610500
108.75,1090818000000,,109.43,108.21,109.19,49679100
109.77,1090904400000,,110.11,108.97,109.05,51295100
110.1,1090990800000,,110.37,108.59,109.55,65862300
110.57,1091077200000,,110.87,110.0,110.54,52200500
110.84,1091163600000,,110.9,110.1,110.32,41581700
111.07,1091422800000,,111.36,110.05,110.19,38263100
110.21,1091509200000,,111.06,110.16,110.93,40948800
110.2,1091595600000,,110.75,109.64,109.89,40763200
108.4,1091682000000,,110.38,108.27,110.29,50772000
106.85,1091768400000,,107.96,106.62,107.63,74729000
107.0,1092027600000,,107.48,106.87,107.02,37476300
108.38,1092114000000,,108.41,107.26,107.31,55870600
108.16,1092200400000,,108.33,107.1,107.68,52933200
106.98,1092286800000,,107.95,106.63,107.68,50015900
107.19,1092373200000,,107.35,106.59,107.1,41634700
108.3,1092632400000,,108.64,107.1,107.14,45731900
108.91,1092718800000,,109.28,108.53,108.75,40701600
110.03,1092805200000,,110.17,108.49,108.52,43165400
109.71,1092891600000,,110.02,109.18,109.81,39881600
110.48,1092978000000,,110.63,109.51,109.61,44870900
110.2,1093237200000,,110.77,110.05,110.55,33745100
110.35,1093323600000,,110.73,109.85,110.64,30453100
111.1,1093410000000,,111.27,109.9,110.33,38551400
111.1,1093496400000,,111.31,110.85,110.96,26629500
111.45,1093582800000,,111.63,111.05,111.2,24902900
110.53,1093842000000,,111.34,110.45,111.23,26726500
111.11,1093928400000,,111.16,110.1,110.66,44125300
111.32,1094014800000,,111.64,110.48,110.95,52778300
112.58,1094101200000,,112.7,111.24,111.24,42736600
112.12,1094187600000,,112.82,112.01,112.3,30480500
112.86,1094533200000,,113.13,112.32,112.54,37338800
112.58,1094619600000,,113.06,112.31,112.62,32963100
112.48,1094706000000,,112.88,112.03,112.57,34314800
113.06,1094792400000,,113.27,112.08,112.52,27900600
113.43,1095051600000,,113.74,113.01,113.31,44398100
113.66,1095138000000,,113.69,113.19,113.3,28048900
112.8,1095224400000,,113.36,112.68,113.3,38295000
113.14,1095310800000,,113.37,112.8,112.85,23911700
113.15,1095397200000,,113.36,112.69,112.95,33683000
112.47,1095656400000,,112.99,112.28,112.67,37149400
112.96,1095742800000,,113.47,112.54,112.75,40920800
111.55,1095829200000,,112.52,111.47,112.5,49042100
110.95,1095915600000,,111.7,110.95,111.6,44068700
111.46,1096002000000,,111.73,111.13,111.17,34981100
110.75,1096261200000,,111.2,110.58,111.1,39355100
111.28,1096347600000,,111.51,110.41,110.91,41662900
111.84,1096434000000,,111.85,111.0,111.21,33325700
111.76,1096520400000,,111.98,111.26,111.55,43536700
113.65,1096606800000,,113.65,112.21,112.26,62824300
113.84,1096866000000,,114.44,113.8,114.1,33082400
113.9,1096952400000,,114.16,113.54,113.85,36910600
114.68,1097038800000,,114.68,113.68,113.77,42297800
113.45,1097125200000,,114.4,113.36,114.38,39388800
112.51,1097211600000,,113.77,112.35,113.15,51872600
112.97,1097470800000,,113.02,112.64,112.78,20229100
112.53,1097557200000,,112.83,111.94,112.2,41754700
111.54,1097643600000,,113.07,111.32,113.0,54212600
110.64,1097730000000,,111.93,110.58,111.68,64082200
111.26,1097816400000,,111.74,110.57,111.02,63482200
111.68,1098075600000,,111.9,110.7,110.89,43535100
110.74,1098162000000,,112.23,110.59,112.02,55851900
110.52,1098248400000,,110.82,109.75,110.38,57118500
111.24,1098334800000,,111.32,110.21,110.79,53218300
109.99,1098421200000,,111.25,109.86,111.19,48752400
109.86,1098680400000,,110.12,109.35,109.75,43990900
111.54,1098766800000,,111.6,109.88,110.13,54337400
112.88,1098853200000,,113.1,111.12,111.38,73896000
113.22,1098939600000,,113.56,112.49,112.78,54413300
113.2,1099026000000,,113.64,112.9,113.12,48820200
113.51,1099288800000,,113.84,113.2,113.56,36720900
113.55,1099375200000,,114.57,113.22,113.67,56210000
114.98,1099461600000,,115.36,114.24,115.03,76960200
116.55,1099548000000,,116.67,114.68,114.78,55350300
117.28,1099634400000,,117.69,116.49,117.05,63287200
117.11,1099893600000,,117.23,116.72,116.98,33863800
116.88,1099980000000,,117.5,116.76,117.08,44658100
116.97,1100066400000,,117.55,116.76,117.06,45265400
117.86,1100152800000,,118.12,117.1,117.18,37863200
118.79,1100239200000,,119.0,117.68,117.97,55583700
118.73,1100498400000,,118.77,118.23,118.5,35297900
117.88,1100584800000,,118.41,117.73,118.36,40028700
118.58,1100671200000,,119.14,118.07,118.37,54494000
118.74,1100757600000,,118.8,118.23,118.53,31854300
117.42,1100844000000,,118.72,117.14,118.7,54276500
117.98,1101103200000,,118.12,117.03,117.17,37560200
118.16,1101189600000,,118.26,117.37,117.93,41968800
118.44,1101276000000,,118.59,118.05,118.27,29724800
118.35,1101448800000,,118.98,118.3,118.51,15487700
117.81,1101708000000,,119.01,117.48,118.79,61460800
117.89,1101794400000,,118.24,117.64,118.0,53685200
119.23,1101880800000,,119.5,118.1,118.16,49898300
119.33,1101967200000,,119.87,119.01,119.1,60163500
119.25,1102053600000,,120.14,119.09,119.31,49067900
119.21,1102312800000,,119.64,118.84,119.21,33030500
118.1,1102399200000,,119.62,118.04,119.49,52047200
118.79,1102485600000,,118.82,118.01,118.21,43895100
119.21,1102572000000,,119.46,117.73,118.14,60922800
119.33,1102658400000,,119.56,118.85,118.92,47828600
120.37,1102917600000,,120.4,119.35,119.76,38541000
120.79,1103004000000,,120.96,120.18,120.18,41500700
120.88,1103090400000,,121.11,120.31,120.7,46699200
120.81,1103176800000,,121.24,120.04,120.72,51641800
119.44,1103263200000,,119.97,119.16,119.46,70761904
